   pageID   bytes
1  9775906   7063
2  2236160  25323
3  70555830 10796
4  71916253 13249
5  15825684  6705
6  30927505  2493
7  3952559   9793
8  70194603  7026
9  7737958  16152
10 54675965 86979
11 562576   78211
12 48504651  2132
13 17303914 18768
14 17107430 11347
15 7108364  12140
16 75097422  3983
17 61434803  5157
18 15682150  2681
19 65858631  4457
20 14418070 52088
